headline,image_link,local_image,timestamp
"George R. R. Martin, Jodi Picoult and other famous writers join Authors Guild in class action lawsuit against OpenAI","https://media.cnn.com/api/v1/images/stellar/prod/230809171636-exp-ai-books-authors-amazon-duffy-live-080903pseg2-cnni-business-00000501.png?c=16x9&q=w_850,c_fill",./images/image1.jpg,"Thu September 21, 2023"
This airport has more global flight connections than anywhere else in the world,"https://media.cnn.com/api/v1/images/stellar/prod/230922093825-01-best-connected-airports-2023-heathrow.jpg?c=original&q=h_618,c_fill",./images/image2.jpg,"Sat September 23, 2023"
Toshiba is set to delist in Japan after 74 years as part of $14 billion deal,"https://media.cnn.com/api/v1/images/stellar/prod/230921022139-01-toshiba-hq-japan-040523.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image3.jpg,"Thu September 21, 2023"
Rucking is an easy way to fitness,"https://media.cnn.com/api/v1/images/stellar/prod/210414115509-life-but-better-fitness-logo-large-169.png?q=h_270,w_650,x_0,y_0/w_1280",./images/image4.jpg,"Sat September 16, 2023"
"Rare cache of pink diamonds formed when a supercontinent broke apart, study says","https://media.cnn.com/api/v1/images/stellar/prod/150103074330-hubble-space-background-2-full-169.jpg?q=h_900,w_1600,x_0,y_0/w_1280",./images/image5.jpg,"Tue September 19, 2023"
"So long, robotic Alexa. Amazon’s voice assistant gets more human-like with generative AI","https://media.cnn.com/api/v1/images/stellar/prod/230919163144-apple-watch-series-9-0912.jpg?c=16x9&q=h_144,w_256,c_fill",./images/image6.jpg,"Wed September 20, 2023"
Apple Watch’s new gesture control feature will have everyone tapping the air,"https://media.cnn.com/api/v1/images/stellar/prod/230919172223-apple-watch-series-9-gesture-control-01.jpg?c=16x9&q=w_850,c_fill",./images/image7.jpg,"Wed September 20, 2023"
US says it has no evidence that Huawei can make advanced smartphones ‘at scale’,"https://media.cnn.com/api/v1/images/stellar/prod/220722111740-20220722-china-radio-towers-illustration.jpg?c=16x9&q=w_850,c_fill",./images/image8.jpg,"Wed September 20, 2023"
Scientists recover RNA from an extinct species for the first time,"https://media.cnn.com/api/v1/images/stellar/prod/150103074330-hubble-space-background-2-full-169.jpg?q=h_900,w_1600,x_0,y_0/w_1280",./images/image9.jpg,"Wed September 20, 2023"
"Exercising within one time window is best for weight loss, study finds","https://media.cnn.com/api/v1/images/stellar/prod/210414115509-life-but-better-fitness-logo-large-169.png?q=h_270,w_650,x_0,y_0/w_1280",./images/image10.jpg,"Wed September 20, 2023"
Ancient jawless fish’s head fossilized in 3D hints at evolution of vertebrate skulls,"https://media.cnn.com/api/v1/images/stellar/prod/150103074330-hubble-space-background-2-full-169.jpg?q=h_900,w_1600,x_0,y_0/w_1280",./images/image11.jpg,"Thu September 21, 2023"
"‘Extraordinary’ structure has no real parallel in the archaeological record, scientists say","https://media.cnn.com/api/v1/images/stellar/prod/141210131801-inside-africa-background-full-169.jpg?q=h_900,w_1600,x_0,y_0/w_1280",./images/image12.jpg,"Thu September 21, 2023"
These candidates in Virginia could shape how both parties talk about abortion in 2024,"https://media.cnn.com/api/v1/images/stellar/prod/230914143858-01-virginia-elections-abortion-2024.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image13.jpg,"Sat September 16, 2023"
Fact check: Debunking eight Trump false claims about the Biden-era economy,"https://media.cnn.com/api/v1/images/stellar/prod/190301115829-facts-first-logo-large-169.png?q=h_60,w_347,x_0,y_0/w_1280",./images/image14.jpg,"Thu September 14, 2023"
